text{ key = "copyright_menu.made_by_fans.line1", value = "Ce jeu est réalisé par des fans," }
text{ key = "copyright_menu.made_by_fans.line2", value = "est non commercial" }
text{ key = "copyright_menu.made_by_fans.line3", value = "et n'a aucun lien avec Nintendo." }
text{ key = "copyright_menu.solarus_license.line1", value = "Solarus est un logiciel libre" }
text{ key = "copyright_menu.solarus_license.line2", value = "sous licence GPL v3." }
text{ key = "copyright_menu.tloz_trademark.line1", value = "The Legend of Zelda est" }
text{ key = "copyright_menu.tloz_trademark.line2", value = "une marque déposée de Nintendo." }
text{ key = "equipment.caption.bomb_bag_1", value = "Sac de Bombe (10)" }
text{ key = "equipment.caption.bomb_bag_2", value = "Grand Sac de Bombe (30)" }
text{ key = "equipment.caption.bomb_bag_3", value = "Sac de Bombe Géant (50)" }
text{ key = "equipment.caption.bombchu_bag_1", value = "Sac de Missile (10)" }
text{ key = "equipment.caption.bombchu_bag_2", value = "Sac de Missile (30)" }
text{ key = "equipment.caption.bombchu_bag_3", value = "Sac de Missile (50)" }
text{ key = "equipment.caption.climb_ring_1", value = "Badge d'Escalade" }
text{ key = "equipment.caption.deku_nuts_bag_1", value = "Sac de Noix Mojo (10)" }
text{ key = "equipment.caption.deku_nuts_bag_2", value = "Sac de Noix Mojo (30)" }
text{ key = "equipment.caption.deku_nuts_bag_3", value = "Sac de Noix Mojo (50)" }
text{ key = "equipment.caption.glove_1", value = "Gantelet d'Argent" }
text{ key = "equipment.caption.glove_2", value = "Gantelets d'Or" }
text{ key = "equipment.caption.quiver_1", value = "Carquois (30)" }
text{ key = "equipment.caption.quiver_2", value = "Grand Carquois (60)" }
text{ key = "equipment.caption.quiver_3", value = "Carquois Géant (100)" }
text{ key = "equipment.caption.rupee_bag_1", value = "Sac de Rubis (300)" }
text{ key = "equipment.caption.rupee_bag_2", value = "Grand Sac de rubis (500)" }
text{ key = "equipment.caption.rupee_bag_3", value = "Sac de Rubis Géant (999)" }
text{ key = "equipment.caption.rupee_bag_4", value = "Sac de rubis Titanesque (5000)" }
text{ key = "equipment.caption.rupee_bag_5", value = "Sac de Rubis Divin (9999)" }
text{ key = "equipment.caption.rupee_bag_6", value = "Sac de Rubis Royal (99999)" }
text{ key = "equipment.caption.shield_1", value = "Bouclier de Bois" }
text{ key = "equipment.caption.shield_2", value = "Bouclier d'Hylia" }
text{ key = "equipment.caption.shield_3", value = "Bouclier Mirroir" }
text{ key = "equipment.caption.sword_1", value = "Epée de Talon" }
text{ key = "equipment.caption.sword_2", value = "Excalibur" }
text{ key = "equipment.caption.sword_3", value = "Excalibur$ 1/2 restaurée" }
text{ key = "equipment.caption.sword_4", value = "Excalibur$La Lame Eternelle" }
text{ key = "equipment.caption.sword_5", value = "Epée Biggoron" }
text{ key = "equipment.caption.sword_biggoron_1", value = "Epée Biggoron" }
text{ key = "equipment.caption.tunic_1", value = "Tunique du Héros" }
text{ key = "equipment.caption.tunic_2", value = "Tunique Goron" }
text{ key = "equipment.caption.tunic_3", value = "Tunique Zora" }
text{ key = "hints.interact_with_object", value = "Interaction:$ $Pour interagir avec$des objets, appuyez$sur la touche$'Action'.$ $Surveillez l'icone$Verte en haut$à droite de l'écran." }
text{ key = "hints.roc_cape", value = "Cape de Roc:$ $Pour sauter, appuyez$sur la touche$auquel elle est$assignée.$ $Maintenez pour voler$plus loin." }
text{ key = "intro.0", value = "Il est une histoire mythique qu'on raconte,$parmi tant d'autres légendes..." }
text{ key = "intro.1", value = "Il y a bien longtemps, existait un royaume$ou l'on disait qui cachait le pouvoir des Dieux" }
text{ key = "intro.2", value = "Ce royaume habitait le " }
text{ key = "intro.3", value = "Une guerre eclata et les forces du mal voulaient s'emparer$de la triforce. Les forces royales diminuaient de jour en jour. " }
text{ key = "intro.4", value = "La Princesse du Royaume decida en dernier recours de confier$une tache a un garcon tout de vert vetu." }
text{ key = "intro.5", value = "Test" }
text{ key = "intro.6", value = "Profitant de l'absence du heros, un homme noir d'esprit,$Ganondorf vena capturer la Princesse et derober la Triforce." }
text{ key = "intro.7", value = "Ayant recu par les deeses un pouvoir destructeur, il$mena le royaume vers le chaos et la desolation." }
text{ key = "intro.8", value = "Ayant recu par les deeses un pouvoir destructeur, il$mena le royame vers le chaos et la desolation." }
text{ key = "inventory.caption.item.acorn_counter.1", value = "Noisette" }
text{ key = "inventory.caption.item.alchemy_counter.1", value = "Alchemy Stone" }
text{ key = "inventory.caption.item.amber_counter.1", value = "Ambre de Bronze" }
text{ key = "inventory.caption.item.blue_chuchu_counter.1", value = "Gelée Chuchu Bleue" }
text{ key = "inventory.caption.item.bomb_counter.1", value = "Bombes" }
text{ key = "inventory.caption.item.bombchu_counter.1", value = "Missile Teigneux" }
text{ key = "inventory.caption.item.boomerang.1", value = "Boomerang" }
text{ key = "inventory.caption.item.bottle.1", value = "Flacon Vide" }
text{ key = "inventory.caption.item.bottle.2", value = "Eau" }
text{ key = "inventory.caption.item.bottle.3", value = "Potion Rouge" }
text{ key = "inventory.caption.item.bottle.4", value = "Potion Verte" }
text{ key = "inventory.caption.item.bottle.5", value = "Bottle$(Blue Potion)" }
text{ key = "inventory.caption.item.bottle.6", value = "Potion Revitalisante" }
text{ key = "inventory.caption.item.bottle.7", value = "Fée" }
text{ key = "inventory.caption.item.bottle.8", value = "Ame de Spectre" }
text{ key = "inventory.caption.item.bow.1", value = "Arc du Héros" }
